province,cities_reg,poorpeople_percentage,reg_gdp,life_exp,avg_schooltime,exp_percap
Aceh,Simeulue,18.98,2.275,65.24,9.48,7148
Aceh,Aceh Singkil,20.36,2.425,67.355,8.68,8776
Aceh,Aceh Selatan,13.18,5.531,64.36,8.88,8180
Aceh,Aceh Tenggara,13.41,5.063,68.155,9.67,8030
Aceh,Aceh Timur,14.45,10.616,68.705,8.21,8577
Aceh,Aceh Tengah,15.26,7.389,68.79,9.86,10780
Aceh,Aceh Barat,18.81,8.116,67.945,9.55,9593
Aceh,Aceh Besar,14.05,13.336,69.745,10.33,9644
Aceh,Pidie,19.59,10.76,66.9,9,9860
Aceh,Bireuen,13.25,13.09,71.2,9.29,8867
Aceh,Aceh Utara,17.43,19.695,68.755,8.64,8201
Aceh,Aceh Barat Daya,16.34,3.92,65.015,8.67,8428
Aceh,Gayo Lues,19.64,2.695,65.475,8.4,8856
Aceh,Aceh Tamiang,13.34,7.513,69.565,8.91,8367
Aceh,Nagan Raya,18.23,7.674,69.215,8.69,8292
Aceh,Aceh Jaya,13.23,2.626,67.14,8.71,9666
Aceh,Bener Meriah,19.16,4.522,69.205,10,11118
Aceh,Pidie Jaya,19.55,3.476,70.145,9.34,10290
Aceh,Kota Banda Aceh,7.61,18.288,71.47,12.83,16891
Aceh,Kota Sabang,15.32,1.533,70.505,11.18,11378
Aceh,Kota Langsa,10.96,5.279,69.385,11.12,12067
Aceh,Kota Lhokseumawe,11.16,8.918,71.61,11.11,11390
Aceh,Kota Subulussalam,17.65,1.804,64.025,8.03,7385
Sumatera Utara,Nias,16.82,4.041,69.745,5.64,6995
Sumatera Utara,Mandailing Natal,9.49,13.843,62.605,8.63,9771
Sumatera Utara,Tapanuli Selatan,8.8,14.642,64.935,9.29,11304
Sumatera Utara,Tapanuli Tengah,12.67,10.139,67.18,8.84,10138
Sumatera Utara,Tapanuli Utara,9.72,8.274,68.71,9.99,11710
Sumatera Utara,Toba Samosir,8.99,7.845,70.21,10.57,12224
Sumatera Utara,Labuhan Batu,8.74,34.653,69.91,9.25,11212
Sumatera Utara,Asahan,9.35,38.692,68.335,8.8,11030
Sumatera Utara,Simalungun,8.81,39.441,71.325,9.61,11376
Sumatera Utara,Dairi,8.31,9.318,69.14,9.59,10504
Sumatera Utara,Karo,8.79,20.975,71.505,10,12412
Sumatera Utara,Deli Serdang,4.01,110.145,71.765,10.1,12291
Sumatera Utara,Langkat,10.12,43.208,68.935,8.66,11142
Sumatera Utara,Nias Selatan,16.92,7.164,68.815,6.06,7041
Sumatera Utara,Humbang Hasundutan,9.65,6.123,69.435,9.71,8016
Sumatera Utara,Pakpak Bharat,9.35,1.211,65.89,9.14,8254
Sumatera Utara,Samosir,12.68,4.543,71.345,9.44,8504
Sumatera Utara,Serdang Bedagai,8.3,28.602,68.805,8.69,11017
Sumatera Utara,Batu Bara,12.38,34.988,67.075,8.07,10539
Sumatera Utara,Padang Lawas Utara,9.92,12.19,67.19,9.38,10055
Sumatera Utara,Padang Lawas,8.69,11.997,67.11,9.02,8921
Sumatera Utara,Labuhan Batu Selatan,8.53,28.199,68.715,8.9,11562
Sumatera Utara,Labuhan Batu Utara,10.02,25.191,69.535,8.41,11840
Sumatera Utara,Nias Utara,25.66,3.71,69.485,6.77,6155
Sumatera Utara,Nias Barat,26.42,1.923,69.03,6.69,5924
Sumatera Utara,Kota Sibolga,12.33,5.605,69.235,10.41,11540
